listing_id,listing_name,listing_type,room_type,host_id,host_name,superhost,latitude,longitude,guests,bedrooms,beds,baths,amenities,instant_book,min_nights,cancellation_policy,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_cleanliness,rating_location,rating_value,ttm_revenue,ttm_avg_rate,ttm_occupancy,ttm_revpar,l90d_revenue,l90d_avg_rate,l90d_occupancy,l90d_revpar,location_from_name,city_category
465397,Anahit Stepanyan's B&B,private room in condo,private_room,2312035,Vahan,TRUE,40.1853,44.5165,NA,NA,2,0,NA,FALSE,1,strict,0,17,122,4.97,4.8,5,4.9,3661,35.7,0.3,10,964,38,0.3,10.7,NA,Yerevan_area
642058,"Unique, Quiet Artistic Apartment Across from Opera",entire rental unit,entire_home,3208296,Adrineh,FALSE,40.1855,44.5173,4,1,2,1,NA,FALSE,6,moderate,0,0,17,5,4.9,5,4.8,3006,60.6,0.1,8.2,738,60.7,0.1,8.2,NA,Yerevan_area
1178459,"Sunny, central, spectacular views",entire rental unit,entire_home,6447888,Pegor,FALSE,40.1877,44.5138,4,2,3,2,NA,NA,1,strict,18,NA,23,4.91,4.8,5,5,4502,125.1,0.1,12.3,0,125.6,0,0,NA,Yerevan_area
1538163,A comfortable flat in the downtown,entire rental unit,entire_home,8201269,Anush,FALSE,40.1848,44.5198,5,2,4,1,NA,FALSE,2,strict,30,0,28,4.93,4.9,4.9,4.9,931,70.3,0,2.6,856,70.2,0.1,9.5,NA,Yerevan_area
1659338,Abovyan 26 street`Superior room`,entire rental unit,entire_home,8793540,Вардан,FALSE,40.1848,44.5194,2,1,2,1,NA,FALSE,3,strict,17,0,115,4.92,4.8,5,4.9,3521,63,0.2,9.6,835,53.7,0.2,9.3,NA,Yerevan_area
1756704,Best choice in the heart of Yerevan,entire rental unit,entire_home,9237968,Levon,FALSE,40.1802,44.5092,2,NA,1,1,NA,TRUE,2,moderate,10,0,109,4.94,4.9,5,4.9,3250,46.8,0.2,8.9,1097,52.1,0.2,12.2,yerevan,Yerevan_area
1813101,2-bedroom on the 19 Tumanyan str,entire rental unit,entire_home,9497368,Armen,FALSE,40.1827,44.5167,6,2,3,1,NA,FALSE,10,flexible,0,0,25,4.64,4.8,4.7,4.8,6686,75.8,0.2,18.3,1429,82.4,0.2,15.9,NA,Yerevan_area
1816460,Modern Apartment in the Amiryan str,entire rental unit,entire_home,9497368,Armen,FALSE,40.1797,44.5095,3,1,1,1,NA,FALSE,5,moderate,0,0,17,4.76,4.7,4.9,4.9,1835,74.8,0.1,5,893,79.5,0.1,9.9,NA,Yerevan_area
1850353,"Spacious,bright apartment with 2 bedrooms, center",entire rental unit,entire_home,9663865,Armen,TRUE,40.1787,44.5191,4,2,4,1.5,NA,TRUE,2,moderate,0,0,228,4.93,4.8,5,4.9,15296,55.5,0.7,41.9,3875,57.9,0.7,43.1,NA,Yerevan_area
2045257,Rent room,entire home,entire_home,10486214,Sargis,FALSE,40.1908,44.5134,4,2,4,2,NA,FALSE,3,flexible,13,0,2,NA,NA,NA,NA,701,56.6,0,1.9,701,57.2,0.1,7.8,NA,Yerevan_area
2136391,Great Apartment ARAGATS in Yerevan Downtown,entire rental unit,entire_home,10902986,Levon,FALSE,40.1979,44.4961,4,2,3,1,NA,FALSE,7,strict,40,0,16,5,5,5,4.9,4775,53.1,0.3,13.1,985,64.6,0.2,10.9,yerevan,Yerevan_area
2137043,"4-person apartment, terrace overlooking Mount ARARAT",entire rental unit,entire_home,10902986,Levon,FALSE,40.198,44.4961,4,2,3,1,NA,FALSE,7,strict,34,0,1,NA,NA,NA,NA,645,51,0,1.8,645,52.5,0.1,7.2,NA,Yerevan_area
